post_id,registrationNumber,body
5bae630cdb5d87000977308d,00115,"Ooredoo, Acteur essentiel du secteur des nouvelles technologies, contient aux alentours de 1700 collaborateurs répartis entre le siège et leurs 85 établissements.
Accretio est désormais implémenté chez Ooreedo qui a contemplé la qualité de la solution et nous a confié son intégration tout en basant sur l'expérience et la disponibilité de toute l'équipe Accretio.
"
5bae6c48db5d870009773094,00115,"Joyeux Advy'nniversaire pour tout le groupe !
On aurait aimé voir tout le monde sur la photo,en espérant faire une tous ensemble un de ces quatre 🙂"
5bae93c1a5b16a0001ef4e4c,00132,Advyteam souhaite la bienvenue à tous ses collaborateurs !
5bae9661a5b16a0001ef4e4e,00086,"Une évolution bien marquante ! qui est d'accord ? 🙂

"
5bae968aa5b16a0001ef4e51,00086,Accretio passe à la vitesse suivante 🙂
5bae96f8a5b16a0001ef4e52,00086,"Nous fêtons cette semaine nos 7 ans ! Partagez avec nous vos souvenirs et anecdotes chez Advyteam !
Les 7 meilleures anecdotes seront gratifiées 😉
"
5bb243bda5b16a0001ef4e5a,00048,"Merci pour le Cadeau Inchaleh ""Sab3a haya"" comme on dit chez nous !! 😉"
5bb2461ea5b16a0001ef4e61,00032,
5bb24650a5b16a0001ef4e62,00072,Riadh READY TO FLY 
5bb24688a5b16a0001ef4e63,00079,
5bb246b4a5b16a0001ef4e66,00079,#MESK7
5bb2484aa5b16a0001ef4e7a,00058,Hello
5bb24a04a5b16a0001ef4e89,00018,#Accretio #Nooredoo
5bb24b23a5b16a0001ef4e8b,00049,#accretio #mobile 
5bb25371a5b16a0001ef4e98,00037,RBA 7 est dans la place !!
5bb25848a5b16a0001ef4e99,00029,"Hard work pays off ... Wonderful Accretio7 :)
Keep going golden team !"
5bb26711a5b16a0001ef4e9c,00007,Decollage effectué avec succès.. Bravo au commandant de bord ainsi que tout les membres d'équipage #accretio7
5bb320c0a5b16a0001ef4eb6,00002,"Bonjour chers advyteamiens ! ça fait plaisir de retrouver toutes localisations sur un espace ""by advyteam"" ! bravo à tous ceux qui ont contribué à la mise en place et au déploiement d'accretio."
5bb320e8a5b16a0001ef4eb7,00002,
5bb320e8a5b16a0001ef4eb8,00002,"Joyeux anniversaire à notre CHO France, Happy happy Ines !"
5bb3235ca5b16a0001ef4ebd,00058,
5bb3235ca5b16a0001ef4ebe,00058,"Advyteam Mojito Litchi Framboise Macaron by YM7
Bonne journée !!"
5bb32753a5b16a0001ef4ec7,00005,"Nous ne pouvons qu'être fiers de vous.
Bravo la team! Excellent job!
#Accretio #7"
5bb32c00a5b16a0001ef4ecb,00024,Félicitations à tous les N° 7 de la team :-D
5bb32c5ea5b16a0001ef4ecc,00086,
5bb32d9da5b16a0001ef4ed4,00034,#Team :)
5bb331b2a5b16a0001ef4ed8,00086,
5bb331b2a5b16a0001ef4ed9,00086,
5bb331b2a5b16a0001ef4eda,00086,
5bb331b2a5b16a0001ef4edb,00086,
5bb331b2a5b16a0001ef4edc,00086,
5bb331b2a5b16a0001ef4edd,00086,
5bb331b2a5b16a0001ef4ede,00086,"Here’s to 7 more years, avec encore plus de défis à relever !
YR7 😉

"
5bb341aea5b16a0001ef4ee8,00093,
5bb341aea5b16a0001ef4ee9,00093,Un dimanche matin...Une rencontre...Une beauté de la nature
5bb34bb4a5b16a0001ef4eef,00033,
5bb34bb4a5b16a0001ef4ef0,00033,"Happy Birthday to our dear colleague @Sana Chatbouri! Wish you all the best & Success!

Ps: C'était hier mais mieux vaut tard que jamais ! :) "
5bb35438a5b16a0001ef4ef3,00064,
5bb35438a5b16a0001ef4ef4,00064,"Nous avons reçu la visite d'un de nos partenaires ce lundi. Comme son sourire l'atteste il fût ravi de son (trop court) séjour et a souligné la joie de vivre et le professionnalisme de toutes les équipes. J'en profite pour vous remercier TOUS, et le plaisir de pouvoir écrire ces quelques lignes sur notre solution ne présage que de bonnes nouvelles pour la suite. Je souhaite également remercier tout particulièrement  toutes les équipes qui ont travaillé corps et âme depuis Avril pour monter ce projet ambitieux consistant à relayer Accretio et les offres PME sur tout le territoire français avec nos partenaires (HLP, CTN, Roosevelt Associes). Big up Zamen, Houda, Nadia, Maissa, Senda, Salma, Alexis,Younes, Amine, Ali, Tarek... Le plus dur est à venir mais la confiance règne !"
5bb3649ea5b16a0001ef4efa,00058,
5bb3649ea5b16a0001ef4efb,00058,"J'ai commencé à faire de la Pub à SMA :) :) ;)
"
5bb36a48a5b16a0001ef4efc,00079,#Hendi7
5bb3cd5fa5b16a0001ef4f19,00039,Ca bosse dans la bonne ambiance ! 
5bb47f19a5b16a0001ef4f24,00086,"Hello les Advyteamiens!
Découvrez notre actualité et bien plus encore ;)
https://spark.adobe.com/page/Ae5ZIH3VfvVwy/

"
5bb4910aa5b16a0001ef4f29,00003,Welcome Chaima à Paris. Ca bosse...
5bb499b1a5b16a0001ef4f2e,00094,
5bb499b1a5b16a0001ef4f2f,00094,"L'inflation.
Immeuble Omrane :D ... في رواية أخرى "
5bb4f2a0a5b16a0001ef4f46,00094,
5bb4f2a0a5b16a0001ef4f47,00094,
5bb4f2a0a5b16a0001ef4f48,00094,
5bb5c746a5b16a0001ef4f4f,00051,Kind reminder
5bb5d489a5b16a0001ef4f56,00024,Teamwork!
5bb5f33da5b16a0001ef4f5b,nan,
5bb5f33da5b16a0001ef4f5c,00001,"Qui de nos XX7 connaîtrait mon fruit préféré ? 
Règles du jeu : 2 réponses maximum par personne. Ceux qui connaissent déjà la réponse sont interdits de jouer :P
Deadline vendredi 5 octobre à 23h59 :D"
5bb61201a5b16a0001ef4f6b,00051,"Accretio on Openshift
Un premier déploiement d'Accretio 2 sur notre nouvelle plateforme SAAS.
Un nouveau départ, une nouvelle aventure...
Merci à tous ceux et celles qui ont contribué à ce succès. 
#SAAS #OCP"
5bb61b00a5b16a0001ef4f7a,00086,
5bb61b26a5b16a0001ef4f7c,00086,
5bb629efa5b16a0001ef4f9b,00116,
5bb629efa5b16a0001ef4f9c,00116,"Shayma a aujourd'hui son entretien pour une belle mission au sein de la DILA, 
Mes chers petits consultants sachez qu'avec moi avant un entretien j'adore le starbucks ;)"
5bb66e60a5b16a0001ef4fb8,nan,
5bb66e60a5b16a0001ef4fb9,nan,
5bb66e60a5b16a0001ef4fba,nan,
5bb66e60a5b16a0001ef4fbb,nan,
5bb66e60a5b16a0001ef4fbc,00007,"A nos 7 ans, aux 20 ans de notre Nasnous, à toutes les bonnes nouvelles que nous avons eu dernièrement, que dieu nous bénisse. Amen."
5bb70bd7a5b16a0001ef4fc3,nan,
5bb70bd7a5b16a0001ef4fc4,nan,
5bb70bd7a5b16a0001ef4fc5,00057,C'est parti ! 
5bb73364a5b16a0001ef4fd5,00086,
5bb74b6ca5b16a0001ef4fdd,00058,Advyteam #ConseilIt SMA YM7
5bb75f47a5b16a0001ef4fdf,00026,"Nous sommes le 1er vendredi du mois d'octobre, il est temps de sourire  ... 
Faites nous part de votre plus beau cliché pour la journée mondiale du sourire et N'oubliez Jamais il faut toujours montrer ses dents surtout quand c'est le weekend :D"
5bb770d5a5b16a0001ef4fe8,00095,
5bb7729da5b16a0001ef4fe9,00066,Guess what happened ? 
5bb77e4da5b16a0001ef4ff2,00026,"Un client toujours souriant :D Un client content : Team M6
""Journée Mondiale du sourire""
PS: oui c'est une équipe que de filles et ce n'est qu'une partie :)"
5bb78b36a5b16a0001ef5005,00086,
5bb78b4ca5b16a0001ef5006,00066,
5bb78bf4a5b16a0001ef5008,00066,
5bb78bf4a5b16a0001ef5009,00066," @Ines: notre photo de ""La journée Mondiale du Sourire ""  :D "
5bb88f8ea5b16a0001ef5012,00072,hello hello waiting for everyone to join! Merci advyteam et bon week-end !
5bba15a5a5b16a0001ef5013,00118,"Run in Carthage ✔ 16k under 2 hours. One of the hardest races that I've ever done. #NailedIt 😉
Runners show up!"
